borough,0-9,10-17,18-26,27-35,36-44,45-53,54-62,63-71,72-80,81+
Barking and Dagenham,31366,25755,20764,29276,27881,26510,17074,11016,6978,6350
Barnet,43320,40799,35172,57425,52414,52470,36299,28567,19145,16744
Bexley,25997,26828,23954,28763,28567,35186,26349,20478,14866,12750
Brent,37165,33421,33130,56857,45128,42241,32077,21238,14163,10408
Bromley,34290,34045,26296,36966,43087,49587,35440,29427,20483,17944
Camden,22722,20793,31798,47765,34976,30632,19823,16056,10524,7970
Croydon,45240,42655,34826,51523,50128,55191,40610,28271,18336,14557
Ealing,40724,35937,31085,54772,51095,48267,32881,24003,15209,11607
Enfield,40503,38063,32343,46500,42293,46701,32502,22771,16178,12541
Greenwich,34023,28281,29302,45777,42129,37114,24365,16858,10505,8167
Hackney,30887,26827,26121,66679,43279,32439,19689,12156,7328,5233
Hammersmith and Fulham,17961,14457,18746,38715,28512,24698,14980,11100,7061,4919
Haringey,29038,28163,27527,52468,43955,38383,23422,15713,9749,6592
Harrow,27288,26546,22007,35368,33071,32787,26489,20236,13889,11207
Havering,25275,25878,23933,30155,28199,34331,28051,23386,16473,14925
Hillingdon,35034,31585,34034,42626,40015,39697,29003,21086,14508,11771
Hounslow,32550,26387,25980,45405,41401,35545,25032,18340,11530,8316
Islington,20119,17527,33065,55276,32690,27871,17797,11897,7654,5376
Kensington and Chelsea,14041,12814,14309,26238,24969,23014,16079,13323,8710,5821
Kingston upon Thames,18778,16625,19749,25565,25438,24294,16394,13026,8162,6965
Lambeth,31455,27636,33625,83599,49650,42356,26201,15339,9615,7184
Lewisham,34888,28725,30051,54308,47554,42647,26939,16131,10392,8090
Merton,24022,19379,16580,34096,32658,29228,19217,14104,9282,7425
Newham,42246,36514,41858,71573,46341,39788,25441,15127,9033,6132
Redbridge,36027,34800,28923,45396,41691,38576,27992,20567,13185,11169
Richmond upon Thames,22535,19618,13540,22992,31165,31218,20499,16611,10298,8466
Southwark,32540,26801,37147,68190,46674,41303,27044,15055,9166,6900
Sutton,22228,21249,16445,25128,28298,30933,21026,16392,10934,9219
Tower Hamlets,33032,28145,39620,78341,46239,30365,17838,11156,6608,5101
Waltham Forest,33183,28068,26788,47481,40180,37910,24225,16346,10448,8203
Wandsworth,33316,23987,27693,80424,52392,39011,23306,17203,11090,8144
Westminster,21556,18723,25163,50347,39417,32748,21334,16662,10602,8059
